CÓDIGO;MULTIPLICADOR;NÚMERO BASE (NB);A;B;TERMINACIONES;DURACIÓN TOTAL NB;PATRÓN 1;PATRÓN 2;PATRÓN 3;DONDE EMPIEZA;;
0997;1;997;0997;-;997;32901;299100;-;-;36300;368301;701299
1997;1;1997;1997;-;997;65901;599100;-;-;346299;1011300;1676301
1999;1;1999;1999;-;999;199900;1799100;-;-;318300;2317300;-
2003;1;2003;2003;-;003;66099;600900;-;-;13199;682201;1349200
2999;1;2999;2999;-;999;299900;2699100;-;-;1167300;4166300;-
3001;1;3001;3001;-;001;300100;2700900;-;-;2673200;5674200;-
4001;1;4001;4001;-;001;400100;3600900;-;-;483200;4484200;-
4003;1;4003;4003;-;003;132099;1200900;-;-;1123201;2456200;3789199
4999;1;4999;4999;-;999;499900;4499100;-;-;4245300;9244300;-
5003;1;5003;5003;-;003;165099;1500900;-;-;418200;2084199;3755201
6997;1;6997;6997;-;997;230901;2099100;-;-;1325301;3662299;5992300
7001;1;7001;7001;-;001;700100;6300900;-;-;5676200;12677200;-
8999;1;8999;8999;-;999;899900;8099100;-;-;6922300;15921300;-
9001;1;9001;9001;-;001;900100;8100900;-;-;2437200;11438200;-
0499;2;998;998;-;499;49900;199101;-;-;157299;406300;-
1499;2;2998;2998;-;499;149900;598101;-;-;66300;814301;-
3499;2;6998;6998;-;499;349900;1396101;-;-;18299;1764300;-
5501;2;11002;11002;-;501;550100;2194899;-;-;4235;2562200;5307199
7499;2;14998;14998;-;499;749900;2992101;-;-;9223;3181300;6923301
8501;2;17002;17002;-;501;850100;3391899;-;-;1324200;5566199;-
1667;3;5001;5001;-;667;500100;1166900;2833900;-;87200;1754200;-
2333;3;6999;6999;-;333;699900;1633100;3966100;-;6275;2164300;4497300
5333;3;15999;15999;-;333;1599900;3733100;9066100;-;734300;6067300;-
7333;3;21999;21999;-;333;2199900;5133100;12466100;-;2036300;9369300;-
0251;4;1004;1004;-;251;25100;37901;-;-;33199;96200;-
0751;4;3004;3004;-;751;75100;111899;-;-;202;187201;-
1249;4;4996;4996;-;249;124900;186101;-;-;138301;449302;-
2251;4;9004;9004;-;251;225100;339901;-;-;212201;777202;-
2749;4;10996;10996;-;749;274900;415099;-;-;10253;568300;1258299
3251;4;13004;13004;-;251;325100;490901;-;-;238200;1054201;-
